# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 7
# Split No.: 1
# Time: 20240727T152034
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
27T152038009;0;e9;c6f3ffff0034a05a
27T152038030;0;e9;4bf4ffff0036a05a
27T152038049;0;e9;10f5ffff0032a05a
27T152038069;0;e9;e5f6ffff002ea05a
27T152038089;0;e9;acf7ffff0036a05a
27T152038109;0;e9;f5f8ffff0030a05a
27T152038130;0;e9;aef9ffff0034a05a
27T152038150;0;e9;4cfaffff0032a05a
27T152038169;0;e9;17fbffff0036a05a
27T152038189;0;e9;8dfcffff002ea05a
27T152038209;0;e9;c7fdffff0034a05a
27T152038230;0;e9;25feffff0032a05a
27T152038249;0;e9;24f0ffff0032a05a
27T152038269;0;e9;79f1ffff0032a05a
27T152038289;0;e9;98f2ffff0036a05a
27T152038309;0;e9;c3f3ffff0032a05a
27T152038329;0;e9;4ef4ffff0030a05a
27T152038349;0;e9;16f5ffff0036a05a
27T152038369;0;e9;a5f6ffff0030a046
27T152038389;0;e9;aaf7ffff0032a05a
27T152038409;0;e9;f6f8ffff0032a05a
27T152038429;0;e9;fcf9ffff0036a046
27T152038449;0;e9;49faffff0034a05a
27T152038469;0;e9;11fbffff0032a05a
27T152038489;0;e9;90fcffff0038a05a
27T152038509;0;e9;c1fdffff0030a05a
27T152038530;0;e9;23feffff0036a05a
27T152038549;0;e9;24f0ffff0032a05a
27T152038569;0;e9;7ff1ffff0036a05a
27T152038589;0;e9;9df2ffff0030a05a
27T152038609;0;e9;c5f3ffff0036a05a
27T152038630;0;e9;4bf4ffff0036a05a
27T152038649;0;e9;15f5ffff0034a05a
27T152038669;0;e9;f7f6ffff0032a05a
27T152038689;0;e9;aaf7ffff0032a05a
27T152038709;0;e9;f0f8ffff0036a05a
27T152038730;0;e9;a8f9ffff0030a05a
27T152038749;0;e9;43faffff0038a05a
27T152038769;0;e9;12fbffff0030a05a
27T152038789;0;e9;9afcffff0034a05a
27T152038809;0;e9;c1fdffff0030a05a
27T152038830;0;e9;25feffff0032a05a
27T152038849;0;e9;21f0ffff0034a05a
27T152038869;0;e9;79f1ffff0032a05a
27T152038889;0;e9;98f2ffff0036a05a
27T152038909;0;e9;c0f3ffff0030a05a
27T152038930;0;e9;13f4ffff0038a046
27T152038949;0;e9;10f5ffff0032a05a
27T152038969;0;e9;f2f6ffff0034a05a
27T152038989;0;e9;aaf7ffff0032a05a
27T152039009;0;e9;f3f8ffff0034a05a
27T152039029;0;e9;abf9ffff0032a05a
27T152039049;0;e9;4cfaffff0032a05a
27T152039069;0;e9;17fbffff0036a05a
27T152039089;0;e9;9ffcffff0032a05a
27T152039109;0;e9;c4fdffff0036a05a
27T152039130;0;e9;20feffff0034a05a
27T152039149;0;e9;73f0ffff0036a046
27T152039169;0;e9;79f1ffff0032a05a
27T152039189;0;e9;9bf2ffff0034a05a
27T152039209;0;e9;c6f3ffff0034a05a
27T152039230;0;e9;1cf4ffff0032a046
27T152039249;0;e9;15f5ffff0034a05a
27T152039269;0;e9;f4f6ffff0030a05a
27T152039289;0;e9;aff7ffff0034a05a
27T152039309;0;e9;f5f8ffff0030a05a
27T152039330;0;e9;a7f9ffff003aa05a
27T152039349;0;e9;4afaffff0036a05a
27T152039369;0;e9;14fbffff0034a05a
27T152039389;0;e9;99fcffff0036a05a
27T152039409;0;e9;c4fdffff0036a05a
27T152039430;0;e9;23feffff0036a05a
27T152039449;0;e9;2bf0ffff0038a05a
27T152039469;0;e9;32f1ffff0040a05a
27T152039489;0;e9;94f2ffff003ea05a
27T152039509;0;e9;8bf3ffff0042a05a
27T152039530;0;e9;06f4ffff0040a05a
27T152039549;0;e9;5df5ffff0044a05a
27T152039569;0;e9;edf6ffff0040a046
27T152039589;0;e9;e7f7ffff0044a05a
27T152039609;0;e9;e0f8ffff0048a046
27T152039630;0;e9;e6f9ffff0044a05a
27T152039649;0;e9;0bfaffff0048a05a
27T152039669;0;e9;56fbffff0048a05a
27T152039689;0;e9;defcffff004ca05a
27T152039709;0;e9;85fdffff0048a05a
27T152039730;0;e9;67feffff004ea05a
27T152039749;0;e9;63f0ffff0048a05a
27T152039769;0;e9;6ff1ffff0048a046
